Industry,Date,Month,Year,Employment,MoM Change,MoM Growth,YoY Growth,Moving Average,Volatility
Construction,1/1/2024,1,2024,8123000,NULL,NULL,NULL,8123000,0.001726291
Construction,2/1/2024,2,2024,8132000,9000,0.001107965,NULL,8127500,0.001726291
Construction,3/1/2024,3,2024,8164000,32000,0.003935071,NULL,8139666,0.001726291
Construction,4/1/2024,4,2024,8170000,6000,0.000734934,NULL,8155333,0.001726291
Construction,5/1/2024,5,2024,8176000,6000,0.000734394,NULL,8170000,0.001726291
Construction,6/1/2024,6,2024,8196000,20000,0.002446184,NULL,8180666,0.001726291
Construction,7/1/2024,7,2024,8208000,12000,0.001464129,NULL,8193333,0.001726291
Construction,8/1/2024,8,2024,8236000,28000,0.003411306,NULL,8213333,0.001726291
Construction,9/1/2024,9,2024,8254000,18000,0.002185527,NULL,8232666,0.001726291
Construction,10/1/2024,10,2024,8262000,8000,0.000969227,NULL,8250666,0.001726291
Construction,11/1/2024,11,2024,8267000,5000,0.00060518,NULL,8261000,0.001726291
Construction,12/1/2024,12,2024,8276000,9000,0.001088666,NULL,8268333,0.001726291
Construction,1/1/2025,1,2025,8264000,-12000,-0.001449976,0.017358119,8269000,0.001726291
Construction,2/1/2025,2,2025,8267000,3000,0.00036302,0.016601082,8269000,0.001726291
Construction,3/1/2025,3,2025,8273000,6000,0.000725777,0.013351298,8268000,0.001726291
Construction,4/1/2025,4,2025,8271000,-2000,-0.00024175,0.012362301,8270333,0.001726291
Construction,5/1/2025,5,2025,8269000,-2000,-0.000241809,0.011374755,8271000,0.001726291
Construction,6/1/2025,6,2025,8267000,-2000,-0.000241867,0.008662762,8269000,0.001726291
Construction,7/1/2025,7,2025,8261000,-6000,-0.000725777,0.006457115,8265666,0.001726291
Construction,8/1/2025,8,2025,8239000,-22000,-0.002663116,0.000364254,8255666,0.001726291
Construction,9/1/2025,9,2025,8255000,16000,0.001941983,0.000121153,8251666,0.001726291
Construction,10/1/2025,10,2025,8243000,-12000,-0.001453664,-0.002299685,8245666,0.001726291
Construction,11/1/2025,11,2025,8279000,36000,0.004367342,0.001451554,8259000,0.001726291
Construction,12/1/2025,12,2025,8275000,-4000,-0.00048315,-0.000120831,8265666,0.001726291
Financial activities,1/1/2024,1,2024,9165000,NULL,NULL,NULL,9165000,0.000832749
Financial activities,2/1/2024,2,2024,9151000,-14000,-0.00152755,NULL,9158000,0.000832749
Financial activities,3/1/2024,3,2024,9149000,-2000,-0.000218555,NULL,9155000,0.000832749
Financial activities,4/1/2024,4,2024,9144000,-5000,-0.000546508,NULL,9148000,0.000832749
Financial activities,5/1/2024,5,2024,9147000,3000,0.000328084,NULL,9146666,0.000832749
Financial activities,6/1/2024,6,2024,9159000,12000,0.001311906,NULL,9150000,0.000832749
Financial activities,7/1/2024,7,2024,9154000,-5000,-0.000545911,NULL,9153333,0.000832749
Financial activities,8/1/2024,8,2024,9162000,8000,0.000873935,NULL,9158333,0.000832749
Financial activities,9/1/2024,9,2024,9162000,0,0,NULL,9159333,0.000832749
Financial activities,10/1/2024,10,2024,9164000,2000,0.000218293,NULL,9162666,0.000832749
Financial activities,11/1/2024,11,2024,9173000,9000,0.000982104,NULL,9166333,0.000832749
Financial activities,12/1/2024,12,2024,9179000,6000,0.000654094,NULL,9172000,0.000832749
Financial activities,1/1/2025,1,2025,9187000,8000,0.000871555,0.002400436,9179666,0.000832749
Financial activities,2/1/2025,2,2025,9199000,12000,0.001306194,0.005245328,9188333,0.000832749
Financial activities,3/1/2025,3,2025,9201000,2000,0.000217415,0.005683681,9195666,0.000832749
Financial activities,4/1/2025,4,2025,9205000,4000,0.000434735,0.006671041,9201666,0.000832749
Financial activities,5/1/2025,5,2025,9211000,6000,0.00065182,0.00699683,9205666,0.000832749
Financial activities,6/1/2025,6,2025,9204000,-7000,-0.000759961,0.0049132,9206666,0.000832749
Financial activities,7/1/2025,7,2025,9204000,0,0,0.005462093,9206333,0.000832749
Financial activities,8/1/2025,8,2025,9185000,-19000,-0.00206432,0.002510369,9197666,0.000832749
Financial activities,9/1/2025,9,2025,9189000,4000,0.000435493,0.002946955,9192666,0.000832749
Financial activities,10/1/2025,10,2025,9184000,-5000,-0.000544129,0.002182453,9186000,0.000832749
Financial activities,11/1/2025,11,2025,9185000,1000,0.000108885,0.001308187,9186000,0.000832749
Financial activities,12/1/2025,12,2025,9186000,1000,0.000108873,0.00076261,9185000,0.000832749
Health care and social assistance,1/1/2024,1,2024,22096000,NULL,NULL,NULL,22096000,0.000780366
Health care and social assistance,2/1/2024,2,2024,22191000,95000,0.004299421,NULL,22143500,0.000780366
Health care and social assistance,3/1/2024,3,2024,22277000,86000,0.003875445,NULL,22188000,0.000780366
Health care and social assistance,4/1/2024,4,2024,22359000,82000,0.003680927,NULL,22275666,0.000780366
Health care and social assistance,5/1/2024,5,2024,22425000,66000,0.002951831,NULL,22353666,0.000780366
Health care and social assistance,6/1/2024,6,2024,22494000,69000,0.003076923,NULL,22426000,0.000780366
Health care and social assistance,7/1/2024,7,2024,22542000,48000,0.002133902,NULL,22487000,0.000780366
Health care and social assistance,8/1/2024,8,2024,22587000,45000,0.001996274,NULL,22541000,0.000780366
Health care and social assistance,9/1/2024,9,2024,22674000,87000,0.003851773,NULL,22601000,0.000780366
Health care and social assistance,10/1/2024,10,2024,22755000,81000,0.003572374,NULL,22672000,0.000780366
Health care and social assistance,11/1/2024,11,2024,22832000,77000,0.003383872,NULL,22753666,0.000780366
Health care and social assistance,12/1/2024,12,2024,22901000,69000,0.003022074,NULL,22829333,0.000780366
Health care and social assistance,1/1/2025,1,2025,22960000,59000,0.002576307,0.0391021,22897666,0.000780366
Health care and social assistance,2/1/2025,2,2025,23008000,48000,0.002090592,0.036816728,22956333,0.000780366
Health care and social assistance,3/1/2025,3,2025,23076000,68000,0.002955494,0.035866589,23014666,0.000780366
Health care and social assistance,4/1/2025,4,2025,23152000,76000,0.003293465,0.035466702,23078666,0.000780366
Health care and social assistance,5/1/2025,5,2025,23217000,65000,0.002807533,0.035317726,23148333,0.000780366
Health care and social assistance,6/1/2025,6,2025,23278000,61000,0.002627385,0.034853739,23215666,0.000780366
Health care and social assistance,7/1/2025,7,2025,23360000,82000,0.003522639,0.036287818,23285000,0.000780366
Health care and social assistance,8/1/2025,8,2025,23383000,23000,0.000984589,0.035241511,23340333,0.000780366
Health care and social assistance,9/1/2025,9,2025,23438000,55000,0.002352136,0.033694981,23393666,0.000780366
Health care and social assistance,10/1/2025,10,2025,23486000,48000,0.002047956,0.032124808,23435666,0.000780366
Health care and social assistance,11/1/2025,11,2025,23546000,60000,0.002554713,0.031271899,23490000,0.000780366
Health care and social assistance,12/1/2025,12,2025,23595000,49000,0.002081033,0.030304354,23542333,0.000780366
Information,1/1/2024,1,2024,2963000,NULL,NULL,NULL,2963000,0.002077146
Information,2/1/2024,2,2024,2958000,-5000,-0.001687479,NULL,2960500,0.002077146
Information,3/1/2024,3,2024,2951000,-7000,-0.002366464,NULL,2957333,0.002077146
Information,4/1/2024,4,2024,2940000,-11000,-0.00372755,NULL,2949666,0.002077146
Information,5/1/2024,5,2024,2930000,-10000,-0.003401361,NULL,2940333,0.002077146
Information,6/1/2024,6,2024,2930000,0,0,NULL,2933333,0.002077146
Information,7/1/2024,7,2024,2917000,-13000,-0.00443686,NULL,2925666,0.002077146
Information,8/1/2024,8,2024,2909000,-8000,-0.002742544,NULL,2918666,0.002077146
Information,9/1/2024,9,2024,2903000,-6000,-0.002062564,NULL,2909666,0.002077146
Information,10/1/2024,10,2024,2887000,-16000,-0.00551154,NULL,2899666,0.002077146
Information,11/1/2024,11,2024,2885000,-2000,-0.000692761,NULL,2891666,0.002077146
Information,12/1/2024,12,2024,2895000,10000,0.003466205,NULL,2889000,0.002077146
Information,1/1/2025,1,2025,2877000,-18000,-0.006217617,-0.029024637,2885666,0.002077146
Information,2/1/2025,2,2025,2876000,-1000,-0.000347584,-0.027721433,2882666,0.002077146
Information,3/1/2025,3,2025,2867000,-9000,-0.003129346,-0.028464927,2873333,0.002077146
Information,4/1/2025,4,2025,2865000,-2000,-0.000697593,-0.025510204,2869333,0.002077146
Information,5/1/2025,5,2025,2864000,-1000,-0.00034904,-0.022525597,2865333,0.002077146
Information,6/1/2025,6,2025,2863000,-1000,-0.000349162,-0.022866894,2864000,0.002077146
Information,7/1/2025,7,2025,2861000,-2000,-0.000698568,-0.019197806,2862666,0.002077146
Information,8/1/2025,8,2025,2860000,-1000,-0.000349528,-0.016844276,2861333,0.002077146
Information,9/1/2025,9,2025,2859000,-1000,-0.00034965,-0.015156734,2860000,0.002077146
Information,10/1/2025,10,2025,2853000,-6000,-0.002098636,-0.011776931,2857333,0.002077146
Information,11/1/2025,11,2025,2848000,-5000,-0.001752541,-0.012824957,2853333,0.002077146
Information,12/1/2025,12,2025,2842000,-6000,-0.002106742,-0.018307427,2847666,0.002077146
Leisure and hospitality,1/1/2024,1,2024,16716000,NULL,NULL,NULL,16716000,0.00144486
Leisure and hospitality,2/1/2024,2,2024,16744000,28000,0.001675042,NULL,16730000,0.00144486
Leisure and hospitality,3/1/2024,3,2024,16780000,36000,0.002150024,NULL,16746666,0.00144486
Leisure and hospitality,4/1/2024,4,2024,16762000,-18000,-0.001072706,NULL,16762000,0.00144486
Leisure and hospitality,5/1/2024,5,2024,16731000,-31000,-0.001849421,NULL,16757666,0.00144486
Leisure and hospitality,6/1/2024,6,2024,16744000,13000,0.000777001,NULL,16745666,0.00144486
Leisure and hospitality,7/1/2024,7,2024,16751000,7000,0.00041806,NULL,16742000,0.00144486
Leisure and hospitality,8/1/2024,8,2024,16746000,-5000,-0.00029849,NULL,16747000,0.00144486
Leisure and hospitality,9/1/2024,9,2024,16776000,30000,0.001791473,NULL,16757666,0.00144486
Leisure and hospitality,10/1/2024,10,2024,16799000,23000,0.001371006,NULL,16773666,0.00144486
Leisure and hospitality,11/1/2024,11,2024,16823000,24000,0.001428656,NULL,16799333,0.00144486
Leisure and hospitality,12/1/2024,12,2024,16862000,39000,0.002318255,NULL,16828000,0.00144486
Leisure and hospitality,1/1/2025,1,2025,16832000,-30000,-0.001779148,0.006939459,16839000,0.00144486
Leisure and hospitality,2/1/2025,2,2025,16796000,-36000,-0.002138783,0.00310559,16830000,0.00144486
Leisure and hospitality,3/1/2025,3,2025,16823000,27000,0.001607526,0.002562574,16817000,0.00144486
Leisure and hospitality,4/1/2025,4,2025,16836000,13000,0.000772752,0.004414748,16818333,0.00144486
Leisure and hospitality,5/1/2025,5,2025,16839000,3000,0.00017819,0.006455083,16832666,0.00144486
Leisure and hospitality,6/1/2025,6,2025,16837000,-2000,-0.000118772,0.005554228,16837333,0.00144486
Leisure and hospitality,7/1/2025,7,2025,16848000,11000,0.000653323,0.005790699,16841333,0.00144486
Leisure and hospitality,8/1/2025,8,2025,16870000,22000,0.001305793,0.007404753,16851666,0.00144486
Leisure and hospitality,9/1/2025,9,2025,16907000,37000,0.002193242,0.007808774,16875000,0.00144486
Leisure and hospitality,10/1/2025,10,2025,16948000,41000,0.002425031,0.008869576,16908333,0.00144486
Leisure and hospitality,11/1/2025,11,2025,16936000,-12000,-0.000708048,0.006716995,16930333,0.00144486
Leisure and hospitality,12/1/2025,12,2025,16981000,45000,0.002657062,0.007057289,16955000,0.00144486
Manufacturing,1/1/2024,1,2024,12875000,NULL,NULL,NULL,12875000,0.001087798
Manufacturing,2/1/2024,2,2024,12852000,-23000,-0.001786408,NULL,12863500,0.001087798
Manufacturing,3/1/2024,3,2024,12836000,-16000,-0.001244942,NULL,12854333,0.001087798
Manufacturing,4/1/2024,4,2024,12833000,-3000,-0.000233718,NULL,12840333,0.001087798
Manufacturing,5/1/2024,5,2024,12825000,-8000,-0.000623393,NULL,12831333,0.001087798
Manufacturing,6/1/2024,6,2024,12814000,-11000,-0.0008577,NULL,12824000,0.001087798
Manufacturing,7/1/2024,7,2024,12806000,-8000,-0.000624317,NULL,12815000,0.001087798
Manufacturing,8/1/2024,8,2024,12772000,-34000,-0.002655005,NULL,12797333,0.001087798
Manufacturing,9/1/2024,9,2024,12758000,-14000,-0.001096148,NULL,12778666,0.001087798
Manufacturing,10/1/2024,10,2024,12697000,-61000,-0.004781314,NULL,12742333,0.001087798
Manufacturing,11/1/2024,11,2024,12711000,14000,0.001102623,NULL,12722000,0.001087798
Manufacturing,12/1/2024,12,2024,12693000,-18000,-0.001416096,NULL,12700333,0.001087798
Manufacturing,1/1/2025,1,2025,12673000,-20000,-0.001575672,-0.01568932,12692333,0.001087798
Manufacturing,2/1/2025,2,2025,12671000,-2000,-0.000157816,-0.014083411,12679000,0.001087798
Manufacturing,3/1/2025,3,2025,12666000,-5000,-0.000394602,-0.013244001,12670000,0.001087798
Manufacturing,4/1/2025,4,2025,12662000,-4000,-0.000315806,-0.013325021,12666333,0.001087798
Manufacturing,5/1/2025,5,2025,12651000,-11000,-0.000868741,-0.013567251,12659666,0.001087798
Manufacturing,6/1/2025,6,2025,12636000,-15000,-0.001185677,-0.013891057,12649666,0.001087798
Manufacturing,7/1/2025,7,2025,12625000,-11000,-0.000870529,-0.014134,12637333,0.001087798
Manufacturing,8/1/2025,8,2025,12615000,-10000,-0.000792079,-0.012292515,12625333,0.001087798
Manufacturing,9/1/2025,9,2025,12612000,-3000,-0.000237812,-0.0114438,12617333,0.001087798
Manufacturing,10/1/2025,10,2025,12603000,-9000,-0.000713606,-0.007403324,12610000,0.001087798
Manufacturing,11/1/2025,11,2025,12593000,-10000,-0.000793462,-0.009283298,12602666,0.001087798
Manufacturing,12/1/2025,12,2025,12585000,-8000,-0.000635274,-0.008508627,12593666,0.001087798
Professional and business services,1/1/2024,1,2024,22668000,NULL,NULL,NULL,22668000,0.001126033
Professional and business services,2/1/2024,2,2024,22658000,-10000,-0.000441151,NULL,22663000,0.001126033
Professional and business services,3/1/2024,3,2024,22631000,-27000,-0.001191632,NULL,22652333,0.001126033
Professional and business services,4/1/2024,4,2024,22616000,-15000,-0.000662808,NULL,22635000,0.001126033
Professional and business services,5/1/2024,5,2024,22633000,17000,0.00075168,NULL,22626666,0.001126033
Professional and business services,6/1/2024,6,2024,22606000,-27000,-0.001192948,NULL,22618333,0.001126033
Professional and business services,7/1/2024,7,2024,22584000,-22000,-0.000973193,NULL,22607666,0.001126033
Professional and business services,8/1/2024,8,2024,22544000,-40000,-0.001771165,NULL,22578000,0.001126033
Professional and business services,9/1/2024,9,2024,22525000,-19000,-0.000842796,NULL,22551000,0.001126033
Professional and business services,10/1/2024,10,2024,22486000,-39000,-0.00173141,NULL,22518333,0.001126033
Professional and business services,11/1/2024,11,2024,22499000,13000,0.000578138,NULL,22503333,0.001126033
Professional and business services,12/1/2024,12,2024,22532000,33000,0.001466732,NULL,22505666,0.001126033
Professional and business services,1/1/2025,1,2025,22480000,-52000,-0.002307829,-0.00829363,22503666,0.001126033
Professional and business services,2/1/2025,2,2025,22473000,-7000,-0.000311388,-0.008164887,22495000,0.001126033
Professional and business services,3/1/2025,3,2025,22457000,-16000,-0.000711965,-0.007688569,22470000,0.001126033
Professional and business services,4/1/2025,4,2025,22470000,13000,0.000578884,-0.006455607,22466666,0.001126033
Professional and business services,5/1/2025,5,2025,22450000,-20000,-0.000890076,-0.008085539,22459000,0.001126033
Professional and business services,6/1/2025,6,2025,22419000,-31000,-0.001380846,-0.00827214,22446333,0.001126033
Professional and business services,7/1/2025,7,2025,22403000,-16000,-0.00071368,-0.008014524,22424000,0.001126033
Professional and business services,8/1/2025,8,2025,22375000,-28000,-0.001249833,-0.007496451,22399000,0.001126033
Professional and business services,9/1/2025,9,2025,22359000,-16000,-0.000715084,-0.007369589,22379000,0.001126033
Professional and business services,10/1/2025,10,2025,22335000,-24000,-0.001073393,-0.00671529,22356333,0.001126033
Professional and business services,11/1/2025,11,2025,22391000,56000,0.002507276,-0.004800213,22361666,0.001126033
Professional and business services,12/1/2025,12,2025,22406000,15000,0.000669912,-0.005592047,22377333,0.001126033
Retail trade,1/1/2024,1,2024,15524000,NULL,NULL,NULL,15524000,0.00129893
Retail trade,2/1/2024,2,2024,15529000,5000,0.000322082,NULL,15526500,0.00129893
Retail trade,3/1/2024,3,2024,15529000,0,0,NULL,15527333,0.00129893
Retail trade,4/1/2024,4,2024,15531000,2000,0.000128791,NULL,15529666,0.00129893
Retail trade,5/1/2024,5,2024,15536000,5000,0.000321937,NULL,15532000,0.00129893
Retail trade,6/1/2024,6,2024,15500000,-36000,-0.002317199,NULL,15522333,0.00129893
Retail trade,7/1/2024,7,2024,15481000,-19000,-0.001225806,NULL,15505666,0.00129893
Retail trade,8/1/2024,8,2024,15458000,-23000,-0.001485692,NULL,15479666,0.00129893
Retail trade,9/1/2024,9,2024,15457000,-1000,-6.46914E-05,NULL,15465333,0.00129893
Retail trade,10/1/2024,10,2024,15452000,-5000,-0.000323478,NULL,15455666,0.00129893
Retail trade,11/1/2024,11,2024,15410000,-42000,-0.002718095,NULL,15439666,0.00129893
Retail trade,12/1/2024,12,2024,15460000,50000,0.003244646,NULL,15440666,0.00129893
Retail trade,1/1/2025,1,2025,15459000,-1000,-6.46831E-05,-0.004187065,15443000,0.00129893
Retail trade,2/1/2025,2,2025,15442000,-17000,-0.001099683,-0.005602421,15453666,0.00129893
Retail trade,3/1/2025,3,2025,15458000,16000,0.001036135,-0.004572091,15453000,0.00129893
Retail trade,4/1/2025,4,2025,15462000,4000,0.000258766,-0.004442727,15454000,0.00129893
Retail trade,5/1/2025,5,2025,15440000,-22000,-0.001422843,-0.006179197,15453333,0.00129893
Retail trade,6/1/2025,6,2025,15426000,-14000,-0.000906736,-0.004774194,15442666,0.00129893
Retail trade,7/1/2025,7,2025,15430000,4000,0.000259302,-0.003294361,15432000,0.00129893
Retail trade,8/1/2025,8,2025,15440000,10000,0.000648088,-0.001164446,15432000,0.00129893
Retail trade,9/1/2025,9,2025,15453000,13000,0.000841969,-0.000258782,15441000,0.00129893
Retail trade,10/1/2025,10,2025,15438000,-15000,-0.000970685,-0.000906032,15443666,0.00129893
Retail trade,11/1/2025,11,2025,15437000,-1000,-6.47752E-05,0.001752109,15442666,0.00129893
Retail trade,12/1/2025,12,2025,15402000,-35000,-0.00226728,-0.003751617,15425666,0.00129893
